"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"389",389,"company389","failed",5,357,"no",0,0,2,2,4,41,0,"medium","yes","large","no","no","no","yes","product","no","both","no","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"390",390,"company390","failed",4,75,"yes",0,0,1,1,2,74,0,"low","yes","small","yes","yes","no","no","product","no","no","no","both","no","platform","local","linear","no","no","no","no","yes","no","yes","yes","no","no","no","offline","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"393",393,"company393","failed",3,-37,"no",0,0,3,0,3,22,0,"low","no","small","yes","no","no","yes","service","no","no","no","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"396",396,"company396","failed",8,0,"no",0,0,1,0,1,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",0,5.555555556,5.555555556,38.88888889,5.555555556,0,16.66666667,5.555555556,22.22222222,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"398",398,"company398","failed",6,16,"no",6,0,2,1,2,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"399",399,"company399","failed",1,22,"no",1,0,2,0,3,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"401",401,"company401","failed",4,-8,"no",0,0,3,0,3,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403",403,"company403","failed",5,-69,"no",1,0,1,0,2,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"405",405,"company405","failed",4,115,"no",1,0,0,0,3,22,0,"low","no","large","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",5.882352941,23.52941176,17.64705882,11.76470588,5.882352941,5.882352941,5.882352941,11.76470588,0,5.882352941,0,0,5.882352941,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406",406,"company406","failed",4,115,"no",0,0,3,0,3,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","no","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408",408,"company408","failed",4,115,"no",1,0,1,0,1,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"410",410,"company410","failed",4,-7,"no",0,2,1,0,1,22,0,"low","no","large","yes","yes","no","yes","service","no","no","no","no","yes","platform","local  ","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",30.55555556,0,2.777777778,19.44444444,0,0,33.33333333,0,5.555555556,8.333333333,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"411",411,"company411","failed",6,-12,"no",0,4,1,0,1,22,0,"low","no","small","yes","yes","no","no","service","no","no","no","no","no","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",18.18181818,0,0,45.45454545,0,0,18.18181818,9.090909091,9.090909091,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"412",412,"company412","failed",4,-58,"no",0,1,3,1,4,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","no","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"414",414,"company414","failed",4,115,"no",1,0,1,0,1,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",416,"company416","failed",6,-53,"no",1,0,3,0,9,22,0,"low","no","small","yes","yes","no","no","both","no","both","no","structured","no","both","local","non-linear","no","no","no","no","no","no","no","yes","no","no","no","both","b2b","yes",5.882352941,5.882352941,17.64705882,17.64705882,17.64705882,0,17.64705882,5.882352941,5.882352941,5.882352941,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417",417,"company417","failed",7,-283,"no",1,0,0,0,5,22,0,"low","no","small","yes","yes","no","no","both","yes","private","no","structured","no","cloud","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",1.851851852,7.222222222,45.37037037,0,7.407407407,1.666666667,27.96296296,3.333333333,1.851851852,3.333333333,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"419",419,"company419","failed",9,-369,"no",1,0,0,0,6,40,0,"low","no","small","yes","yes","no","no","product","yes","public","no","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",7.407407407,3.703703704,18.51851852,3.703703704,3.703703704,3.703703704,18.51851852,3.703703704,0,3.703703704,0,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"420",420,"company420","failed",7,0,"no",1,0,1,0,4,25,0,"low","no","small","yes","yes","no","no","product","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2c","yes",10,5,0,5,0,5,45,0,5,5,0,5,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"421",421,"company421","failed",17,224,"yes",1,0,0,0,4,150,0,"low","no","small","yes","yes","no","no","both","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",1.960784314,8.333333333,13.18082789,1.851851852,11.32897603,0,23.69281046,3.703703704,28.43137255,3.812636166,0,1.851851852,1.851851852,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",422,"company422","failed",8,-91,"no",1,0,0,0,4,45,0,"low","no","small","yes","yes","no","no","service","yes","both","yes","both","yes","platform","local","non-linear","no","no","no","no","no","no","no","yes","yes","yes","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"423",423,"company423","failed",4,115,"no",1,0,2,0,3,40,0,"low","no","small","yes","yes","no","yes","both","yes","private","no","both","yes","platform","local","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"424",424,"company424","failed",4,1,"no",1,0,2,0,6,22,0,"low","no","small","yes","yes","no","no","product","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"425",425,"company425","failed",4,-3,"no",1,0,0,0,1,22,0,"low","no","small","yes","yes","no","no","service","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"426",426,"company426","failed",6,-89,"no",1,0,0,0,1,60,0,"low","no","small","yes","yes","no","no","service","yes","public","yes","both","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","yes","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"427",427,"company427","failed",3,-228,"no",1,0,1,0,1,22,0,"low","no","small","yes","yes","no","no","service","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"428",428,"company428","failed",7,-2,"no",1,0,0,0,1,22,0,"low","no","small","yes","yes","no","no","service","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429",429,"company429","failed",4,115,"no",1,0,1,0,4,6,0,"low","no","small","yes","yes","no","no","service","no","private","yes","structured","yes","platform","local","non-linear","no","yes","no","no","no","no","no","no","no","no","no","offline","b2c","yes",0,50,0,0,0,0,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",430,"company430","failed",4,7,"no",1,0,0,0,1,22,0,"low","no","small","yes","yes","no","no","service","no","private","no","both","yes","platform","local","non-linear","no","yes","no","no","no","no","no","no","no","yes","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"431",431,"company431","failed",4,-61,"no",0,0,3,1,5,10,0,"low","no","small","yes","yes","no","no","service","no","private","no","both","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433",433,"company433","failed",4,-2,"no",1,0,1,0,1,22,0,"low","no","small","no","no","no","no","service","no","private","no","structured","yes","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","no","offline","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"434",434,"company434","failed",4,115,"no",1,0,1,0,1,22,0,"low","no","small","yes","yes","no","yes","service","no","private","no","both","yes","platform","local","non-linear","no","yes","no","no","no","no","no","yes","no","yes","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435",435,"company435","failed",4,-13,"no",0,0,2,1,3,10,0,"low","no","medium","yes","yes","no","no","service","yes","private","yes","both","no","platform","local","non-linear","no","no","no","no","no","no","no","no","yes","yes","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"437",437,"company437","failed",9,42,"no",0,0,2,2,3,55,3,"low","no","large","yes","yes","yes","yes","service","no","public","no","both","no","platform","global","linear","yes","no","no","yes","yes","no","yes","yes","no","yes","yes","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"438",438,"company438","failed",4,115,"no",0,0,3,0,3,15,0,"low","no","small","no","no","no","no","service","no","private","no","structured","yes","platform","global","non-linear","no","no","yes","no","no","no","no","no","no","yes","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439",439,"company439","failed",4,30,"no",1,0,1,0,2,3,0,"low","no","small","no","no","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","no","no","no","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"440",440,"company440","failed",4,115,"no",1,0,2,1,2,4,0,"low","no","small","no","no","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","yes","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441",441,"company441","failed",4,115,"no",1,0,1,0,2,4,0,"medium","no","small","no","no","no","yes","service","yes","private","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","yes","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442",442,"company442","failed",6,-62,"no",1,0,1,0,2,9,0,"high","yes","small","no","no","no","no","product","yes","private","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",18.75,0,12.5,6.25,0,0,6.25,0,0,0,0,0,0,6.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"446",446,"company446","failed",5,-24,"no",1,0,2,3,2,6,0,"low","no","small","no","no","no","no","service","yes","private","yes","unstructured","yes","cloud","local","non-linear","yes","no","no","yes","no","no","yes","no","yes","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"447",447,"company447","failed",4,115,"no",1,0,1,0,1,3,0,"medium","no","small","no","no","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","no","yes","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448",448,"company448","failed",4,115,"yes",1,0,0,0,7,13,0,"medium","no","medium","no","no","no","no","product","yes","private","yes","unstructured","yes","platform","global","linear","no","no","no","yes","no","no","yes","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449",449,"company449","failed",4,-56,"no",1,0,0,2,2,5,0,"medium","no","small","yes","yes","no","no","service","yes","private","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","no","yes","yes","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"451",451,"company451","failed",9,31,"yes",1,0,0,1,5,1100,0,"low","no","large","yes","yes","no","yes","product","yes","private","no","unstructured","yes","platform","local","linear","yes","no","no","yes","no","no","no","no","no","no","no","offline","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"452",452,"company452","failed",4,115,"no",1,0,3,0,3,90,0,"medium","no","medium","yes","yes","no","no","service","yes","private","yes","unstructured","yes","platform","local","non-linear","yes","no","no","yes","no","no","yes","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"453",453,"company453","failed",4,115,"yes",1,0,0,1,24,800,0,"high","no","large","yes","yes","no","no","service","yes","private","yes","structured","yes","cloud","global","linear","yes","no","no","no","no","no","yes","yes","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"455",455,"company455","failed",4,115,"no",1,0,0,3,5,15,0,"low","no","small","no","no","no","no","product","yes","private","yes","unstructured","yes","cloud","local","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456",456,"company456","failed",4,115,"no",1,0,0,0,3,7,0,"medium","no","small","no","no","no","no","service","yes","private","yes","unstructured","yes","cloud","local","non-linear","no","no","no","yes","yes","no","yes","no","yes","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"457",457,"company457","failed",4,-24,"no",1,0,0,1,3,6,0,"medium","no","small","no","no","no","no","product","yes","private","yes","structured","yes","cloud","local","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"458",458,"company458","failed",4,115,"no",1,0,2,0,2,7,0,"medium","yes","small","no","no","no","no","product","yes","private","yes","structured","yes","cloud","local","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459",459,"company459","failed",4,1,"no",1,0,0,0,1,22,0,"low","no","small","yes","yes","no","no","service","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"461",461,"company461","failed",4,-1,"no",1,0,0,1,1,3,0,"low","no","small","yes","no","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","yes","yes","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"462",462,"company462","failed",4,4,"no",1,0,2,0,2,2,0,"low","no","small","no","no","no","no","product","yes","private","yes","unstructured","yes","platform","local","non-linear","no","no","no","yes","no","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463",463,"company463","failed",7,18,"no",1,0,2,0,3,11,0,"medium","no","small","no","no","no","yes","service","yes","private","yes","structured","yes","cloud","local","non-linear","no","no","no","no","yes","no","yes","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"464",464,"company464","failed",4,115,"no",1,0,1,0,2,15,0,"low","no","small","no","no","no","no","service","no","public","no","structured","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",2.941176471,5.718954248,41.99346405,11.60130719,2.941176471,2.941176471,20.26143791,8.823529412,0,2.777777778,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"465",465,"company465","failed",4,-30,"no",0,1,0,1,2,22,0,"low","no","small","yes","no","no","yes","product","no","no","no","structured","yes","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",11.11111111,0,11.11111111,22.22222222,0,0,22.22222222,11.11111111,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"466",466,"company466","failed",7,0,"no",0,1,0,0,2,22,0,"low","no","small","yes","yes","no","yes","service","no","no","no","structured","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"468",468,"company468","failed",3,-5,"no",0,0,0,0,1,22,0,"low","no","small","yes","yes","no","no","product","yes","no","no","structured","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"469",469,"company469","failed",4,115,"no",0,4,0,0,1,22,0,"low","no","small","yes","yes","no","no","service","no","no","no","structured","no","platform","global","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470",470,"company470","failed",4,0,"no",1,0,2,0,1,22,0,"low","no","small","yes","yes","no","no","service","no","public","no","structured","yes","both","global","non-linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"471",471,"company471","failed",5,0,"no",1,0,3,2,1,22,0,"low","no","small","yes","yes","no","no","service","yes","public","no","structured","yes","both","global","linear","no","no","no","yes","yes","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472",472,"company472","failed",1,11,"no",0,0,3,0,1,22,1,"low","no","small","yes","yes","no","no","product","yes","public","no","unstructured","yes","none","global","non-linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
